1	0				Volunteers		70	\N	\N	23	\N	\N	\N
2	0						44	\N	\N	25	\N	\N	\N
3	0						49	\N	\N	24	\N	\N	\N
4	0			Staff members celebrating the 17th Anniversary			80	\N	\N	44	\N	\N	\N
5	0			English students and staff before the shared lunch			86	\N	\N	48	\N	\N	\N
8	0			New Zealand Journalist Visit at Xanana Reading Room	New Zealand Journalist visit at Xanana Gusmao Reading Room to discuss with young people in Timor Leste about their  thinking , problems and challenges as young Timorense.		109	\N	\N	59		Vizita Jornalista husi Nova Zelandia	Vizita Jornalista New Zealand iha Sala Leitura Xanana Gusmao  hodi halo diskusaun ho jovem sira kona ba sira nia hanoin, problema, no dezafiu ne'ebe mak sira infrenta hanesan Jovem Timorense.
7	0			Australia study tour group	Welcome Australia study tour group to Xanana Gusmao Reading Room		98	\N	\N	57		Grupu Australia study tour	Bemvindo grupu Australia study tour mai iha Sala Leitura Xanana Gusmao
\.


